Link,Status,Breadcrumbs,Content Div,H1 Header,Timestamp
http://10.147.112.4/id2/admin/sfcs/modelmap/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:01
http://10.147.112.4/id2/admin/sfcs/modelmap/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/modelmap/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/model/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/model/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/model/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/partgroupid/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:02
http://10.147.112.4/id2/admin/sfcs/partgroupid/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/partgroupid/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/part/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/part/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/part/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/unit_label_print/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:03
http://10.147.112.4/id2/admin/sfcs/unit_label_print/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/unit_label_print/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/queuedorderactivity/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/queuedorderactivity/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/queuedorderactivity/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:04
http://10.147.112.4/id2/admin/sfcs/repaircodematrix/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodematrix/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodematrix/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodetranslation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodetranslation/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/repaircodetranslation/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/routingdata/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:05
http://10.147.112.4/id2/admin/sfcs/routingdata/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/routingdata/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinitionbydate/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinitionbydate/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinitionbydate/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinition/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:06
http://10.147.112.4/id2/admin/sfcs/shiftdefinition/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/shiftdefinition/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/spacertoolmapping/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/spacertoolmapping/add/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/spacertoolmapping/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
http://10.147.112.4/id2/admin/sfcs/step/,SUCCESS,NOT FOUND,FOUND,NOT FOUND,2024-09-24 02:13:07
